Sample,Gen_Pop,Gen,Pop,Cond,Env,Fitness,Fitness_std,s_VLTE,s_VLTE_scaled,Clone_A_s,Clone_B_s,Clone_A_s_stderr,Clone_B_s_stderr
G10150_P1B04-YPD_30C,G10150_P1B04,10150,P1B04,P1_YPD_30C,YPD_30C,0.0216964978314282,0.008506722118503616,0.026455223449384613,0.019163322477485967,0.013189775712924585,0.030203219949931817,0.006972224712997974,0.0014675205234579445
G10150_P1C04-YPD_30C,G10150_P1C04,10150,P1C04,P1_YPD_30C,YPD_30C,0.0342377400598379,0.004011002309957174,0.055203038749650886,0.04791113777775225,0.03824874236979507,0.030226737749880724,0.0021998224287074057,0.0065758888647426995
G10150_P1C05-YPD_30C,G10150_P1C05,10150,P1C05,P1_YPD_30C,YPD_30C,0.049030544889555765,0.0005445256703510704,0.07453791987398317,0.06724601890208454,0.04848601921920469,0.04957507055990683,0.0054722782169844214,0.00563698775991402
G10150_P1D03-YPD_30C,G10150_P1D03,10150,P1D03,P1_YPD_30C,YPD_30C,0.0090323363322752,0.004568052776881389,0.015436831145682275,0.008144930173783635,0.013600389109156587,0.004464283555393811,0.0013662083524733095,0.0027757582074326072
G10150_P1F05-YPD_30C,G10150_P1F05,10150,P1F05,P1_YPD_30C,YPD_30C,0.03780469400767772,0.0016877117672980664,0.04902003594098517,0.041728134969086526,0.03949240577497578,0.03611698224037965,0.0039867156086901894,0.008601932735364822
G10150_P1G04-YPD_30C,G10150_P1G04,10150,P1G04,P1_YPD_30C,YPD_30C,0.020375158453043496,0.00328150758984741,0.022701590218839024,0.015409689246940382,0.017093650863196086,0.023656666042890902,0.004016950691581375,0.0016924129107134206
G1410_P1B04-YPD_30C,G1410_P1B04,1410,P1B04,P1_YPD_30C,YPD_30C,-0.02779238218614066,0.0018878346796654848,-0.028869140585970662,-0.03616104155786929,-0.02590454750647517,-0.029680216865806144,0.0026617033945479426,0.000972002257513232
G1410_P1C04-YPD_30C,G1410_P1C04,1410,P1C04,P1_YPD_30C,YPD_30C,-0.034816614506504945,0.004108843689662476,-0.04257257281460493,-0.04986447378650357,-0.03892545819616742,-0.030707770816842467,0.0035369229081858604,0.0076664134336778735
G1410_P1C05-YPD_30C,G1410_P1C05,1410,P1C05,P1_YPD_30C,YPD_30C,-0.026194646234935552,0.008765609183249002,-0.03221296882168585,-0.03950486979358449,-0.017429037051686552,-0.03496025541818455,0.0022621277066980565,0.0011072292895874128
G1410_P1D03-YPD_30C,G1410_P1D03,1410,P1D03,P1_YPD_30C,YPD_30C,-0.05004622260601458,0.005270024710975187,-0.053501030490125334,-0.060792931462023976,-0.044776197895039394,-0.05531624731698977,0.0012003986888486171,0.0033188051190671318
G1410_P1F05-YPD_30C,G1410_P1F05,1410,P1F05,P1_YPD_30C,YPD_30C,-0.020759750046992792,0.0008394277623364789,-0.017000472035211982,-0.024292373007110624,-0.01992032228465631,-0.021599177809329267,0.005162156994140272,0.0033539809496319537
G1410_P1G04-YPD_30C,G1410_P1G04,1410,P1G04,P1_YPD_30C,YPD_30C,-0.03176867042647609,0.002823920644044957,-0.03232818444018016,-0.0396200854120788,-0.03459259107052105,-0.028944749782431133,0.003909535397514714,0.004971534291026571
G2640_P1B04-YPD_30C,G2640_P1B04,2640,P1B04,P1_YPD_30C,YPD_30C,-0.011584034407366791,0.004098557530525742,-0.013067440800154342,-0.01730355256887169,-0.015682591937892534,-0.007485476876841048,0.0064923578312899785,0.0012980532564022774
G2640_P1C04-YPD_30C,G2640_P1C04,2640,P1C04,P1_YPD_30C,YPD_30C,-0.02876440363731249,0.012374811213077937,-0.020492288115764663,-0.024728399884482014,-0.01638959242423455,-0.04113921485039043,0.002431955421706886,0.0024585873288979344
G2640_P1C05-YPD_30C,G2640_P1C05,2640,P1C05,P1_YPD_30C,YPD_30C,-0.004648012805446071,0.003274186002712443,-0.00171088959899514,-0.005947001367712489,-0.0013738268027336273,-0.007922198808158514,0.0016649734404130991,0.0044633567143646
G2640_P1D03-YPD_30C,G2640_P1D03,2640,P1D03,P1_YPD_30C,YPD_30C,-0.03120357175980298,0.0027477669938834205,-0.02606994531649872,-0.030306057085216068,-0.02845580476591956,-0.0339513387536864,0.0027690583448484922,0.005838394466188317
G2640_P1F05-YPD_30C,G2640_P1F05,2640,P1F05,P1_YPD_30C,YPD_30C,-0.007786646318660152,0.0030328789118994693,-0.006910235889750128,-0.011146347658467478,-0.004753767406760683,-0.010819525230559622,0.005921100380466485,0.0039356888936335965
G2640_P1G04-YPD_30C,G2640_P1G04,2640,P1G04,P1_YPD_30C,YPD_30C,-0.011510105874934637,0.0014464521698811974,-0.01015429185994977,-0.014390403628667118,-0.012956558044815832,-0.010063653705053436,0.003504107778198923,0.0071148461994005935
G5150_P1B04-YPD_30C,G5150_P1B04,5150,P1B04,P1_YPD_30C,YPD_30C,0.006669878174131097,0.011644413398106148,0.009164801896108429,0.001872900924209788,0.018314291572237247,-0.004974535223975053,0.0016757594942366837,0.0009105564045785457
G5150_P1C04-YPD_30C,G5150_P1C04,5150,P1C04,P1_YPD_30C,YPD_30C,-0.01240504598894575,0.01684910853482009,0.01410960345527222,0.00681770248337358,-0.029254154523765837,0.004444062545874341,0.0006142130470587924,0.004707541512349043
G5150_P1C05-YPD_30C,G5150_P1C05,5150,P1C05,P1_YPD_30C,YPD_30C,0.01680740700808285,9.432256014762185e-05,0.029922665402387718,0.02263076443048908,0.016901729568230474,0.01671308444793523,0.0042010288733099225,0.00229128250157464
G5150_P1D03-YPD_30C,G5150_P1D03,5150,P1D03,P1_YPD_30C,YPD_30C,-0.006182601383257564,0.0037741367790245033,-0.001515276230522348,-0.008807177202420989,-0.00995673816228207,-0.002408464604233061,0.002834732328022737,0.002201362316070369
G5150_P1F05-YPD_30C,G5150_P1F05,5150,P1F05,P1_YPD_30C,YPD_30C,0.014441275183944632,0.001772949432444047,0.022934939602101512,0.015643038630202867,0.012668325751500585,0.016214224616388682,0.0025692452417535806,0.0029829079046096844
G5150_P1G04-YPD_30C,G5150_P1G04,5150,P1G04,P1_YPD_30C,YPD_30C,0.0023543064656188946,0.0009007931453206576,0.0061403665517110895,-0.0011515344201875515,0.003255099610939552,0.001453513320298237,0.002364627011935961,0.0030119984739104405
G70_P1B04-YPD_30C,G70_P1B04,70,P1B04,P1_YPD_30C,YPD_30C,-0.06287524577310538,0.0015646561563273235,-0.06902095972560696,-0.07325707149432431,-0.061310589616778065,-0.0644399019294327,0.0024899011219515093,0.00237020415552625
G70_P1C04-YPD_30C,G70_P1C04,70,P1C04,P1_YPD_30C,YPD_30C,-0.08259365799571311,0.0019528340911881825,-0.08495564115301897,-0.08919175292173634,-0.08064082390452493,-0.08454649208690129,0.0005949855673699507,0.002714667396428834
G70_P1C05-YPD_30C,G70_P1C05,70,P1C05,P1_YPD_30C,YPD_30C,-0.08440320591711396,0.008546181655750038,-0.0869550474506869,-0.09119115921940424,-0.07585702426136393,-0.092949387572864,0.0031540385946755897,0.007921808149500649
G70_P1D03-YPD_30C,G70_P1D03,70,P1D03,P1_YPD_30C,YPD_30C,-0.1038083814944555,0.0012605951275013322,-0.09972902443692816,-0.10396513620564553,-0.10506897662195684,-0.10254778636695416,0.003406583002189,0.008410820483677526
G70_P1F05-YPD_30C,G70_P1F05,70,P1F05,P1_YPD_30C,YPD_30C,-0.06941621763342808,0.0035341371947374828,-0.06987356430429481,-0.07410967607301218,-0.0658820804386906,-0.07295035482816556,0.00450479284340166,0.00016626372483733503
G70_P1G04-YPD_30C,G70_P1G04,70,P1G04,P1_YPD_30C,YPD_30C,-0.07218677141060732,0.00032635456202963204,-0.0730287604757214,-0.07726487224443876,-0.07251312597263695,-0.07186041684857769,0.004792724939751997,0.0018096973301343726
G7530_P1B04-YPD_30C,G7530_P1B04,7530,P1B04,P1_YPD_30C,YPD_30C,0.021317475760245428,0.0006307836785910784,0.027332927720172186,0.02309681595145484,0.02194825943883651,0.02068669208165435,0.0013222866839493607,0.00016487174954701346
G7530_P1C04-YPD_30C,G7530_P1C04,7530,P1C04,P1_YPD_30C,YPD_30C,0.022307213972719172,0.008540207291677608,0.05305307757041594,0.04881696580169858,0.013767006681041563,0.030847421264396782,0.0001843615477147938,0.003547442965662578
G7530_P1C05-YPD_30C,G7530_P1C05,7530,P1C05,P1_YPD_30C,YPD_30C,0.035172195137448826,0.004591267780800143,0.06386302830864772,0.05962691653993037,0.03976346291824897,0.03058092735664868,0.002572031418071039,0.0072532320566799265
G7530_P1D03-YPD_30C,G7530_P1D03,7530,P1D03,P1_YPD_30C,YPD_30C,0.008921143391600099,0.004399534981141209,0.011143522602045848,0.006907410833328499,0.00452160841045889,0.013320678372741307,0.00012662994591771735,0.0014403411104290168
G7530_P1F05-YPD_30C,G7530_P1F05,7530,P1F05,P1_YPD_30C,YPD_30C,0.01962925289769753,0.005731243076565857,0.041691370967041695,0.03745525919832435,0.02536049597426339,0.013898009821131672,0.004178747559470045,0.006660336594049851
G7530_P1G04-YPD_30C,G7530_P1G04,7530,P1G04,P1_YPD_30C,YPD_30C,0.004892568311511967,0.006041917686365427,0.020650317122554177,0.016414205353836833,-0.0011493493748534606,0.010934485997877394,0.002456549141069607,0.001310567673783254
G10150_P3C03-SC_37C,G10150_P3C03,10150,P3C03,P3_SC_37C,SC_37C,0.06938889701311307,0.0046089594324785965,0.08408470792663937,0.12815196081185762,0.07399785644559168,0.06477993758063448,0.01149247257371719,0.005838217717102437
G10150_P3D03-SC_37C,G10150_P3D03,10150,P3D03,P3_SC_37C,SC_37C,0.08842451612004366,0.0058305885901230176,0.09896710483564332,0.14303435772086154,0.09425510471016668,0.08259392752992065,0.009830849960338115,0.007977228252450763
G10150_P3F03-SC_37C,G10150_P3F03,10150,P3F03,P3_SC_37C,SC_37C,0.06287383846839134,0.00392045446693499,0.0793512247426094,0.12341847762782765,0.05895338400145635,0.06679429293532634,0.004959605386196482,0.010825016940632958
G10150_P3G02-SC_37C,G10150_P3G02,10150,P3G02,P3_SC_37C,SC_37C,0.07473546782879578,0.0068166450090108716,0.08456143306263625,0.12862868594785448,0.0679188228197849,0.08155211283780664,0.005760036009617672,0.012389069737396749
G10150_P3G05-SC_37C,G10150_P3G05,10150,P3G05,P3_SC_37C,SC_37C,0.0626150554874463,0.01742622654068368,0.058056506002574525,0.10212375888779276,0.08004128202812998,0.04518882894676261,0.006566575654434047,0.006640427113262068
G10150_P3G06-SC_37C,G10150_P3G06,10150,P3G06,P3_SC_37C,SC_37C,0.07673242599664032,0.0010430562835580734,0.10100201285833554,0.14506926574355378,0.07568936971308224,0.07777548228019839,0.005013798442023557,0.00837159420710317
G1410_P3C03-SC_37C,G1410_P3C03,1410,P3C03,P3_SC_37C,SC_37C,-0.03071930091938599,0.0028406088471597587,-0.06794819122937384,-0.023880938344155604,-0.03355990976654575,-0.027878692072226232,0.00880171796332406,0.012344015772537482
G1410_P3D03-SC_37C,G1410_P3D03,1410,P3D03,P3_SC_37C,SC_37C,-0.002082930499487322,0.003441960577656541,-0.0037649003617876,0.04030235252343064,0.00135903007816922,-0.005524891077143864,0.013243639048948009,0.005805807665150977
G1410_P3F03-SC_37C,G1410_P3F03,1410,P3F03,P3_SC_37C,SC_37C,-0.04130645535353388,0.0016011586987626743,-0.07557711010791088,-0.03150985722269264,-0.04290761405229655,-0.0397052966547712,0.0026756571341405213,0.005655491395997839
G1410_P3G02-SC_37C,G1410_P3G02,1410,P3G02,P3_SC_37C,SC_37C,-0.04394824554691976,0.009300322147012484,-0.05140117822141295,-0.007333925336194709,-0.03464792339990727,-0.053248567693932235,0.007125498210663758,0.004244733603676926
G1410_P3G05-SC_37C,G1410_P3G05,1410,P3G05,P3_SC_37C,SC_37C,-0.010185241432162205,0.012951957395677423,-0.04277387701689341,0.0012933758683248279,0.0027667159635152198,-0.023137198827839624,0.012635781888334387,0.006221722942056662
G1410_P3G06-SC_37C,G1410_P3G06,1410,P3G06,P3_SC_37C,SC_37C,-0.017676856677425832,0.0014026429671105901,-0.03573815582009169,0.00832909706512655,-0.019079499644536417,-0.01627421371031524,0.008815150030540085,0.003883029102265164
G2640_P3C03-SC_37C,G2640_P3C03,2640,P3C03,P3_SC_37C,SC_37C,-0.014937599820162562,0.004496960732236296,-0.020608094900108828,-0.0009129911471086053,-0.01943456055239886,-0.010440639087926269,0.012451526145463538,0.009594060900136243
G2640_P3D03-SC_37C,G2640_P3D03,2640,P3D03,P3_SC_37C,SC_37C,0.0007853766349659131,0.008535212692865059,0.01476884955584246,0.034463953308842686,-0.0077498360578991485,0.009320589327830977,0.00782279675848975,0.01232929013769191
G2640_P3F03-SC_37C,G2640_P3F03,2640,P3F03,P3_SC_37C,SC_37C,0.004026975144105247,0.005149404206555082,-0.001209484526937215,0.01848561922606301,0.009176379350660327,-0.0011224290624498347,0.00853714526373517,0.005072807714207632
G2640_P3G02-SC_37C,G2640_P3G02,2640,P3G02,P3_SC_37C,SC_37C,-0.002251013016225511,0.013609175216242985,-0.005011671315057183,0.014683432437943041,0.011358162200017471,-0.01586018823246849,0.009050094286909088,0.0046736623000239825
G2640_P3G05-SC_37C,G2640_P3G05,2640,P3G05,P3_SC_37C,SC_37C,-0.002640939434717245,0.0036102032689514204,0.0025013370677433627,0.022196440820743586,0.0009692638342341754,-0.0062511427036686645,0.01095181482645582,0.006111476303201613
G2640_P3G06-SC_37C,G2640_P3G06,2640,P3G06,P3_SC_37C,SC_37C,0.030605058223543306,0.001614238302315525,0.041437177570658124,0.06113228132365835,0.03221929652585883,0.028990819921227783,0.012279804229170969,0.010343885700832773
G5150_P3C03-SC_37C,G5150_P3C03,5150,P3C03,P3_SC_37C,SC_37C,0.031330949671096245,0.0010250198444567305,0.01358901513456001,0.05765626801977825,0.03030592982663952,0.032355969515552974,0.004988162005152549,0.009716351778650413
G5150_P3D03-SC_37C,G5150_P3D03,5150,P3D03,P3_SC_37C,SC_37C,0.05216378331782622,0.0011082403947848506,0.04903342036213214,0.0931006732473504,0.05327202371261106,0.05105554292304136,0.010212245034096372,0.0052294647040292104
G5150_P3F03-SC_37C,G5150_P3F03,5150,P3F03,P3_SC_37C,SC_37C,0.0416016610058587,0.007149648711329153,0.012215880471699749,0.05628313335691799,0.048751309717187864,0.03445201229452955,0.010465745269706124,0.011886373971795256
G5150_P3G02-SC_37C,G5150_P3G02,5150,P3G02,P3_SC_37C,SC_37C,0.04609017968154516,0.0054740979500516145,0.02085276935092061,0.06492002223613885,0.05156427763159678,0.04061608173149355,0.011493637184911892,0.007564364066908116
G5150_P3G05-SC_37C,G5150_P3G05,5150,P3G05,P3_SC_37C,SC_37C,0.023908266628586985,0.004976706380525293,-0.019549928106263475,0.02451732477895476,0.01893156024806169,0.028884973009112275,0.0067437563326663615,0.008987391416618685
G5150_P3G06-SC_37C,G5150_P3G06,5150,P3G06,P3_SC_37C,SC_37C,0.05164247893908962,0.0041343573138871055,0.04534653133176579,0.08941378421698404,0.047508121625202515,0.05577683625297672,0.009827661995906468,0.0052237544008794205
G70_P3C03-SC_37C,G70_P3C03,70,P3C03,P3_SC_37C,SC_37C,-0.1456873305685972,0.012482737520915358,-0.2324179867905421,-0.21272288303754194,-0.15817006808951256,-0.13320459304768184,0.004297241164325757,0.00026124304869457857
G70_P3D03-SC_37C,G70_P3D03,70,P3D03,P3_SC_37C,SC_37C,-0.17594511911563002,0.0048897060452523225,-0.20104870666951005,-0.18135360291650984,-0.1710554130703777,-0.18083482516088234,0.0177444964685097,0.0
G70_P3F03-SC_37C,G70_P3F03,70,P3F03,P3_SC_37C,SC_37C,-0.11723650948666953,0.0011871260697479266,-0.09195553411328612,-0.0722604303602859,-0.1160493834169216,-0.11842363555641745,0.0016941171978231073,0.0029147185679675803
G70_P3G02-SC_37C,G70_P3G02,70,P3G02,P3_SC_37C,SC_37C,-0.15245438583057735,0.024635838473109663,-0.20012286515553696,-0.18042776140253675,-0.12781854735746767,-0.17709022430368698,0.0007615819727767227,0.010783476605626872
G70_P3G05-SC_37C,G70_P3G05,70,P3G05,P3_SC_37C,SC_37C,-0.19200218524041546,0.011818914259793369,-0.18460954438962648,-0.16491444063662625,-0.18018327098062206,-0.2038210995002088,0.0,0.0
G70_P3G06-SC_37C,G70_P3G06,70,P3G06,P3_SC_37C,SC_37C,-0.1057589255183507,0.04368846820542377,-0.17900944421460194,-0.1593143404616017,-0.06207045731292692,-0.14944739372377447,0.0032185740381035265,0.006821210591775978
