Gen_pop,Num_fixed_nonsyn
G70_P1B04,2
G1410_P1B04,2
G2640_P1B04,59
G5150_P1B04,85
G7530_P1B04,98
G10150_P1B04,173
G70_P1C04,3
G1410_P1C04,23
G2640_P1C04,47
G5150_P1C04,92
G7530_P1C04,147
G10150_P1C04,162
G70_P1C05,1
G1410_P1C05,16
G2640_P1C05,42
G5150_P1C05,47
G7530_P1C05,74
G10150_P1C05,91
G70_P1D03,4
G1410_P1D03,4
G2640_P1D03,49
G5150_P1D03,61
G7530_P1D03,97
G10150_P1D03,104
G70_P1F05,5
G1410_P1F05,8
G2640_P1F05,9
G5150_P1F05,63
G7530_P1F05,100
G10150_P1F05,113
G70_P1G04,1
G1410_P1G04,18
G2640_P1G04,39
G5150_P1G04,71
G7530_P1G04,104
G10150_P1G04,147
G70_P3C03,0
G1410_P3C03,6
G2640_P3C03,37
G5150_P3C03,83
G7530_P3C03,92
G10150_P3C03,176
G70_P3D03,1
G1410_P3D03,14
G2640_P3D03,32
G5150_P3D03,79
G7530_P3D03,98
G10150_P3D03,112
G70_P3F03,1
G1410_P3F03,5
G2640_P3F03,90
G5150_P3F03,129
G7530_P3F03,149
G10150_P3F03,156
G70_P3G02,0
G1410_P3G02,19
G2640_P3G02,28
G5150_P3G02,64
G7530_P3G02,96
G10150_P3G02,112
G70_P3G05,2
G1410_P3G05,15
G2640_P3G05,43
G5150_P3G05,54
G7530_P3G05,94
G10150_P3G05,104
G70_P3G06,1
G1410_P3G06,21
G2640_P3G06,55
G5150_P3G06,93
G7530_P3G06,137
G10150_P3G06,140
