Pop_timepoint,Clone_A,Clone_B
G10150_P1B04,VTn_1.A1,VTn_2.E1
G10150_P1G04,VTn_1.A2,VTn_2.E2
G10150_P1C04,VTn_1.A3,VTn_2.E3
G10150_P1F05,VTn_1.A4,VTn_2.E4
G10150_P1D03,VTn_1.A5,VTn_2.E5
G10150_P1C05,VTn_1.A6,VTn_2.E6
G7530_P1B04,VTn_1.C1,VTn_2.G1
G7530_P1G04,VTn_1.C2,VTn_2.G2
G7530_P1C04,VTn_1.C3,VTn_2.G3
G7530_P1F05,VTn_1.C4,VTn_2.G4
G7530_P1D03,VTn_1.C5,VTn_2.G5
G7530_P1C05,VTn_1.C6,VTn_2.G6
G5150_P1B04,VTn_1.E1,VTn_3.A1
G5150_P1G04,VTn_1.E2,VTn_3.A2
G5150_P1C04,VTn_1.E3,VTn_3.A3
G5150_P1F05,VTn_1.E4,VTn_3.A4
G5150_P1D03,VTn_1.E5,VTn_3.A5
G5150_P1C05,VTn_1.E6,VTn_3.A6
G2640_P1B04,VTn_1.G1,VTn_3.C1
G2640_P1G04,VTn_1.G2,VTn_3.C2
G2640_P1C04,VTn_1.G3,VTn_3.C3
G2640_P1F05,VTn_1.G4,VTn_3.C4
G2640_P1D03,VTn_1.G5,VTn_3.C5
G2640_P1C05,VTn_1.G6,VTn_3.C6
G1410_P1B04,VTn_2.A1,VTn_3.E1
G1410_P1G04,VTn_2.A2,VTn_3.E2
G1410_P1C04,VTn_2.A3,VTn_3.E3
G1410_P1F05,VTn_2.A4,VTn_3.E4
G1410_P1D03,VTn_2.A5,VTn_3.E5
G1410_P1C05,VTn_2.A6,VTn_3.E6
G70_P1B04,VTn_2.C1,VTn_3.G1
G70_P1G04,VTn_2.C2,VTn_3.G2
G70_P1C04,VTn_2.C3,VTn_3.G3
G70_P1F05,VTn_2.C4,VTn_3.G4
G70_P1D03,VTn_2.C5,VTn_3.G5
G70_P1C05,VTn_2.C6,VTn_3.G6
G10150_P3F03,VTn_1.B1,VTn_2.F1
G10150_P3G02,VTn_1.B2,VTn_2.F2
G10150_P3G06,VTn_1.B3,VTn_2.F3
G10150_P3G05,VTn_1.B4,VTn_2.F4
G10150_P3C03,VTn_1.B5,VTn_2.F5
G10150_P3D03,VTn_1.B6,VTn_2.F6
G7530_P3F03,VTn_1.D1,VTn_2.H1
G7530_P3G02,VTn_1.D2,VTn_2.H2
G7530_P3G06,VTn_1.D3,VTn_2.H3
G7530_P3G05,VTn_1.D4,VTn_2.H4
G7530_P3C03,VTn_1.D5,VTn_2.H5
G7530_P3D03,VTn_1.D6,VTn_2.H6
G5150_P3F03,VTn_1.F1,VTn_3.B1
G5150_P3G02,VTn_1.F2,VTn_3.B2
G5150_P3G06,VTn_1.F3,VTn_3.B3
G5150_P3G05,VTn_1.F4,VTn_3.B4
G5150_P3C03,VTn_1.F5,VTn_3.B5
G5150_P3D03,VTn_1.F6,VTn_3.B6
G2640_P3F03,VTn_1.H1,VTn_3.D1
G2640_P3G02,VTn_1.H2,VTn_3.D2
G2640_P3G06,VTn_1.H3,VTn_3.D3
G2640_P3G05,VTn_1.H4,VTn_3.D4
G2640_P3C03,VTn_1.H5,VTn_3.D5
G2640_P3D03,VTn_1.H6,VTn_3.D6
G1410_P3F03,VTn_2.B1,VTn_3.F1
G1410_P3G02,VTn_2.B2,VTn_3.F2
G1410_P3G06,VTn_2.B3,VTn_3.F3
G1410_P3G05,VTn_2.B4,VTn_3.F4
G1410_P3C03,VTn_2.B5,VTn_3.F5
G1410_P3D03,VTn_2.B6,VTn_3.F6
G70_P3F03,VTn_2.D1,VTn_3.H1
G70_P3G02,VTn_2.D2,VTn_3.H2
G70_P3G06,VTn_2.D3,VTn_3.H3
G70_P3G05,VTn_2.D4,VTn_3.H4
G70_P3C03,VTn_2.D5,VTn_3.H5
G70_P3D03,VTn_2.D6,VTn_3.H6
